id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
8927,Epicenter: Why the Current Rumblings in the Middle East Will Change Your Future,Joel C. Rosenberg,https://www.goodreads.com/book/show/390163.Epicenter,"Nonfiction,Christian",October 1st 2006,"Tyndale House Publishers, Inc.",312.0,English,4.21,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347521667i/390163.jpg,Nonfiction,Christian
8928,"Kill You Twice (Archie Sheridan & Gretchen Lowell, #5)",Chelsea Cain,https://www.goodreads.com/book/show/12996425-kill-you-twice,"Mystery,Thriller",August 7th 2012,Minotaur Books,326.0,English,4.14,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1324554222i/12996425.jpg,Mystery,Thriller
8929,War Talk,Arundhati Roy,https://www.goodreads.com/book/show/9774.War_Talk,"Nonfiction,Politics",April 1st 2003,South End Press,140.0,English,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924311i/9774.jpg,Nonfiction,Politics
8930,The Aviator's Wife,Melanie Benjamin,https://www.goodreads.com/book/show/13642950-the-aviator-s-wife,"Historical,Historical Fiction",January 15th 2013,"Delacorte Press

            ,",416.0,English,3.9,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1345153864i/13642950.jpg,Historical,Historical Fiction
8931,Through a Glass Darkly,Lina Langley,https://www.goodreads.com/book/show/38333079-through-a-glass-darkly,"Romance,M M Romance",2017,L.M. Langley,16.0,English,3.17,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1517615217i/38333079.jpg,Romance,M M Romance
8932,Equal of the Sun,Anita Amirrezvani,https://www.goodreads.com/book/show/15803170-equal-of-the-sun,"Historical,Historical Fiction",March 19th 2013,"Scribner

            ,",431.0,English,3.74,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1360594805i/15803170.jpg,Historical,Historical Fiction
8933,"The Witches: Salem, 1692",Stacy Schiff,https://www.goodreads.com/book/show/24819449-the-witches,"History,Nonfiction",October 27th 2015,"Little, Brown and Company",498.0,English,3.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1431533468i/24819449.jpg,History,Nonfiction
8934,The Ladies of Garrison Gardens,Louise Shaffer,https://www.goodreads.com/book/show/412903.The_Ladies_of_Garrison_Gardens,"Fiction,Womens Fiction",August 29th 2006,"Ballantine Books

            ,",352.0,English,3.77,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320503919i/412903.jpg,Fiction,Womens Fiction
8935,The Storm Keeper’s Island,Catherine Doyle,https://www.goodreads.com/book/show/40046104-the-storm-keeper-s-island,"Fantasy,Childrens",January 22nd 2019,"Bloomsbury Children's Books

            ,",320.0,English,4.18,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1548004010i/40046104.jpg,Fantasy,Childrens
8936,The Omen,David Seltzer,https://www.goodreads.com/book/show/226162.The_Omen,"Horror,Fiction",June 6th 2006,"Signet

            ,",272.0,English,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421963974i/226162.jpg,Horror,Fiction
8937,"OCD, the Dude, and Me",Lauren Roedy Vaughn,https://www.goodreads.com/book/show/15721669-ocd-the-dude-and-me,"Young Adult,Contemporary",March 21st 2013,Dial Books,240.0,English,3.5,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1362954674i/15721669.jpg,Young Adult,Contemporary
8938,"Pokémon Adventures (Ruby and Sapphire), Vol. 21","Hidenori Kusaka,Satoshi Yamamoto",https://www.goodreads.com/book/show/18280806-pok-mon-adventures-ruby-and-sapphire-vol-21,"Sequential Art,Manga",March 4th 2014,"VIZ Media - Children's

            ,",208.0,English,4.37,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1393776567i/18280806.jpg,Sequential Art,Manga
8939,Stone's Fall,Iain Pears,https://www.goodreads.com/book/show/6182702-stone-s-fall,"Historical,Historical Fiction",April 24th 2009,Spiegel & Grau,594.0,English,3.89,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320518692i/6182702.jpg,Historical,Historical Fiction
8940,Ratcatcher,Tim  Stevens,https://www.goodreads.com/book/show/21359837-ratcatcher,"Thriller,Mystery",November 2nd 2012,"Createspace Independent Pub

            ,",418.0,English,3.69,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394320689i/21359837.jpg,Thriller,Mystery
