id,title,author,book_link,genre,date_published,publisher,num_of_page,lang,rate,Image URL,primary_genre,sub_genre
149,Truth and Beauty,Ann Patchett,https://www.goodreads.com/book/show/3686.Truth_and_Beauty,"Autobiography,Memoir",April 5th 2005,"Harper Perennial

            ,",257,English,3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1410140355i/3686.jpg,Autobiography,Memoir
150,"The Awakening (Darkest Powers, #2)",Kelley Armstrong,https://www.goodreads.com/book/show/5391115-the-awakening,"Young Adult,Fantasy",April 28th 2009,HarperCollins,360,English,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1478986806i/5391115.jpg,Young Adult,Fantasy
151,"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,https://www.goodreads.com/book/show/6527740-last-sacrifice,"Young Adult,Paranormal",December 7th 2010,Razorbill,594,English,4.36,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1319850978i/6527740.jpg,Young Adult,Paranormal
152,"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael Scott,https://www.goodreads.com/book/show/17402605-the-alchemyst,"Fantasy,Young Adult",August 5th 2010,"Corgi Childrens

            ,",390,English,3.84,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1361310229i/17402605.jpg,Fantasy,Young Adult
153,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,https://www.goodreads.com/book/show/13839.The_Botany_of_Desire,"Nonfiction,Science",May 28th 2002,"Random House Trade Paperbacks

            ,",297,English,4.04,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1403642467i/13839.jpg,Nonfiction,Science
154,Circe,Madeline Miller,https://www.goodreads.com/book/show/35959740-circe,"Fantasy,Fiction",April 10th 2018,"Little, Brown and Company",393,English,4.26,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1565909496i/35959740.jpg,Fantasy,Fiction
155,Dark Matter,Blake Crouch,https://www.goodreads.com/book/show/27833670-dark-matter,"Science Fiction,Fiction",July 26th 2016,Crown,342,English,4.1,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1472119680i/27833670.jpg,Science Fiction,Fiction
156,Small Island,Andrea Levy,https://www.goodreads.com/book/show/44001.Small_Island,"Fiction,Historical",April 1st 2005,"Picador USA

            ,",441,English,3.98,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1437256773i/44001.jpg,Fiction,Historical
157,The Lucky One,Nicholas Sparks,https://www.goodreads.com/book/show/3063499-the-lucky-one,"Romance,Fiction",August 11th 2009,"Grand Central Publishing

            ,",326,English,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1420816338i/3063499.jpg,Romance,Fiction
158,"Fire (Graceling Realm, #2)",Kristin Cashore,https://www.goodreads.com/book/show/6137154-fire,"Fantasy,Young Adult",October 5th 2009,Dial Books,480,English,4.08,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1331535456i/6137154.jpg,Fantasy,Young Adult
159,The Solitude of Prime Numbers,"Paolo Giordano,Shaun Whiteside",https://www.goodreads.com/book/show/6613956-the-solitude-of-prime-numbers,"Fiction,Contemporary",March 18th 2010,"Pamela Dorman Books

            ,",271,English,3.62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442465089i/6613956.jpg,Fiction,Contemporary
160,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",Philippa Gregory,https://www.goodreads.com/book/show/252499.The_Queen_s_Fool,"Historical,Historical Fiction",February 4th 2004,"Harper Collins

            ,",504,English,3.87,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1399204116i/252499.jpg,Historical,Historical Fiction
161,State of Wonder,Ann Patchett,https://www.goodreads.com/book/show/9118135-state-of-wonder,"Fiction,Contemporary",June 7th 2011,"HarperCollins Publishers

            ,",353,English,3.88,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454428541i/9118135.jpg,Fiction,Contemporary
162,If I Stay,Gayle Forman,https://www.goodreads.com/book/show/4374400-if-i-stay,"Young Adult,Romance",April 2nd 2009,Viking,201,English,3.93,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630573973i/4374400.jpg,Young Adult,Romance
163,Dear John,Nicholas Sparks,https://www.goodreads.com/book/show/5526.Dear_John,"Romance,Fiction",October 30th 2006,"Warner Books (NY)

            ,",276,English,4.03,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1397749854i/5526.jpg,Romance,Fiction
164,Carnal: Somewhere Over 40 Winks,Rom LcO'Feer,https://www.goodreads.com/book/show/7673244-carnal,"Contemporary,Psychology",September 16th 2009,"Lulu.com

            ,",222,English,3.47,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1347312513i/7673244.jpg,Contemporary,Psychology
165,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,https://www.goodreads.com/book/show/599.Sex_Drugs_and_Cocoa_Puffs,"Nonfiction,Writing",July 2nd 2004,"Scribner

            ,",272,English,3.71,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1380742001i/599.jpg,Nonfiction,Writing
166,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,"Malala Yousafzai,Christina Lamb",https://www.goodreads.com/book/show/17851885-i-am-malala,"Nonfiction,Biography",October 8th 2013,"Little, Brown and Company

            ,",327,English,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1375414895i/17851885.jpg,Nonfiction,Biography
167,"Allegiant (Divergent, #3)",Veronica Roth,https://www.goodreads.com/book/show/18710190-allegiant,"Young Adult,Science Fiction",October 22nd 2013,HarperCollins Children's Book's,526,English,3.62,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1395582745i/18710190.jpg,Young Adult,Science Fiction
168,Fantastic Beasts and Where to Find Them,"Newt Scamander,J.K. Rowling",https://www.goodreads.com/book/show/41899.Fantastic_Beasts_and_Where_to_Find_Them,"Fantasy,Fiction",June 1st 2001,"Arthur A. Levine Books

            ,",128,English,3.96,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303738520i/41899.jpg,Fantasy,Fiction
169,Houdini Heart,Ki Longfellow,https://www.goodreads.com/book/show/11324204-houdini-heart,"Horror,Fantasy",April 25th 2011,Eio Books,254,English,3.75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1510418043i/11324204.jpg,Horror,Fantasy
170,"Julie and Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,https://www.goodreads.com/book/show/13747.Julie_and_Julia,"Nonfiction,Autobiography",September 1st 2005,Little Brown and Company,310,English,3.7,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442804846i/13747.jpg,Nonfiction,Autobiography
171,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas,"Fantasy,Paranormal",April 1st 2004,"Orbit

            ,",291,English,3.95,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1329501808i/110494.jpg,Fantasy,Paranormal
172,"Legend (Legend, #1)",Marie Lu,https://www.goodreads.com/book/show/9275658-legend,"Young Adult,Science Fiction",November 29th 2011,Putnam Juvenile,305,English,4.16,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1501368160i/9275658.jpg,Young Adult,Science Fiction
173,"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)",Rachel Joyce,https://www.goodreads.com/book/show/13227454-the-unlikely-pilgrimage-of-harold-fry,"Fiction,Contemporary",July 24th 2012,"Random House

            ,",320,English,3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1335816092i/13227454.jpg,Fiction,Contemporary
174,A Gentleman in Moscow,Amor Towles,https://www.goodreads.com/book/show/34066798-a-gentleman-in-moscow,"Historical,Historical Fiction",March 26th 2019,"Penguin Books

            ,",462,English,4.32,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1718915012i/34066798.jpg,Historical,Historical Fiction
175,"An Echo in the Bone (Outlander, #7)","Diana Gabaldon,Diana Gabaldon",https://www.goodreads.com/book/show/2832909-an-echo-in-the-bone,"Historical,Historical Fiction",January 21st 2010,"Orion

            ,",820,English,4.4,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1370918297i/2832909.jpg,Historical,Historical Fiction
176,Suzanne's Diary for Nicholas,James Patterson,https://www.goodreads.com/book/show/7494.Suzanne_s_Diary_for_Nicholas,"Romance,Fiction",August 1st 2003,"Vision

            ,",289,English,4.15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1404736778i/7494.jpg,Romance,Fiction
177,Change of Heart,Jodi Picoult,https://www.goodreads.com/book/show/1609451.Change_of_Heart,"Fiction,Contemporary",March 4th 2008,Atria Books,448,English,3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390429931i/1609451.jpg,Fiction,Contemporary
178,"Moon Called (Mercy Thompson, #1)",Patricia Briggs,https://www.goodreads.com/book/show/71811.Moon_Called,"Fantasy,Urban Fantasy",January 31st 2006,Ace,289,English,4.12,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1743122298i/71811.jpg,Fantasy,Urban Fantasy
179,"Fall of Giants (The Century Trilogy, #1)",Ken Follett,https://www.goodreads.com/book/show/7315573-fall-of-giants,"Historical,Historical Fiction",September 28th 2010,Berkley,985,English,4.27,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1470384630i/7315573.jpg,Historical,Historical Fiction
180,The Tiger's Wife,Téa Obreht,https://www.goodreads.com/book/show/8366402-the-tiger-s-wife,"Fiction,Historical",March 8th 2011,Random House,338,English,3.42,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382570044i/8366402.jpg,Fiction,Historical
182,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,https://www.goodreads.com/book/show/1301.Moneyball,"Nonfiction,Sports",March 17th 2004,"W. W. Norton  Company

            ,",317,English,4.22,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388176510i/1301.jpg,Nonfiction,Sports
183,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,https://www.goodreads.com/book/show/9742.The_Audacity_of_Hope,"Nonfiction,Politics",October 17th 2006,"Crown Publishers

            ,",375,English,3.78,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386925614i/9742.jpg,Nonfiction,Politics
184,A Man Called Ove,"Fredrik Backman,Henning Koch,Uroš Kalčič,اسدالله حقانی",https://www.goodreads.com/book/show/18774964-a-man-called-ove,"Fiction,Contemporary",July 15th 2014,"Atria Books

            ,",337,English,4.35,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1405259930i/18774964.jpg,Fiction,Contemporary
185,Fragile Things: Short Fictions and Wonders,Neil Gaiman,https://www.goodreads.com/book/show/16788.Fragile_Things,"Fantasy,Short Stories",September 26th 2006,"William Morrow

            ,",360,English,3.91,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924550i/16788.jpg,Fantasy,Short Stories
186,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,https://www.goodreads.com/book/show/12262741-wild,"Nonfiction,Autobiography",March 20th 2012,Knopf,315,English,4.02,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1453189881i/12262741.jpg,Nonfiction,Autobiography
188,"Inferno (Robert Langdon, #4)",Dan Brown,https://www.goodreads.com/book/show/17212231-inferno,"Fiction,Thriller",May 14th 2013,Doubleday,463,English,3.86,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1534070896i/17212231.jpg,Fiction,Thriller
